"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,4,1,743,745,-2,1003,1011,-8,"DL",807,"N346NB","EWR","ATL",111,746,7,45,2013-04-01 07:00:00
2013,4,1,752,759,-7,1016,1032,-16,"DL",2047,"N674DL","LGA","ATL",109,762,7,59,2013-04-01 07:00:00
2013,4,1,759,805,-6,1057,1105,-8,"DL",1109,"N979DL","LGA","TPA",150,1010,8,5,2013-04-01 08:00:00
2013,4,1,802,810,-8,1111,1123,-12,"DL",1271,"N362NW","JFK","FLL",160,1069,8,10,2013-04-01 08:00:00
2013,4,1,802,810,-8,1108,1125,-17,"DL",2070,"N327NW","LGA","RSW",159,1080,8,10,2013-04-01 08:00:00
2013,4,1,803,805,-2,1057,1106,-9,"DL",2395,"N322US","LGA","PBI",148,1035,8,5,2013-04-01 08:00:00
2013,4,1,804,810,-6,1105,1131,-26,"DL",2143,"N993DL","JFK","MIA",159,1089,8,10,2013-04-01 08:00:00
2013,4,1,805,810,-5,1006,1020,-14,"DL",2119,"N914DL","LGA","MSP",150,1020,8,10,2013-04-01 08:00:00
2013,4,1,807,810,-3,1106,1055,11,"DL",1429,"N3769L","JFK","LAS",331,2248,8,10,2013-04-01 08:00:00
2013,4,1,812,815,-3,1059,1115,-16,"DL",1167,"N307DQ","JFK","TPA",148,1005,8,15,2013-04-01 08:00:00
2013,4,1,814,815,-1,1049,1045,4,"DL",914,"N357NW","LGA","DEN",240,1620,8,15,2013-04-01 08:00:00
2013,4,1,825,830,-5,1045,1108,-23,"DL",269,"N960DL","JFK","ATL",119,760,8,30,2013-04-01 08:00:00
2013,4,1,828,835,-7,1101,1114,-13,"DL",2170,"N374DA","JFK","PHX",315,2153,8,35,2013-04-01 08:00:00
2013,4,1,830,835,-5,1117,1140,-23,"DL",1959,"N959DL","JFK","MCO",143,944,8,35,2013-04-01 08:00:00
2013,4,1,856,900,-4,1108,1129,-21,"DL",485,"N309DE","EWR","ATL",110,746,9,0,2013-04-01 09:00:00
2013,4,1,856,900,-4,1119,1143,-24,"DL",1747,"N673DL","LGA","ATL",114,762,9,0,2013-04-01 09:00:00
2013,4,1,857,900,-3,1219,1224,-5,"DL",120,"N709TW","JFK","LAX",342,2475,9,0,2013-04-01 09:00:00
2013,4,1,900,900,0,1100,1116,-16,"DL",181,"N3730B","LGA","DTW",81,502,9,0,2013-04-01 09:00:00
2013,4,1,907,910,-3,1200,1212,-12,"DL",1885,"N366NB","LGA","MCO",145,950,9,10,2013-04-01 09:00:00
2013,4,1,910,915,-5,1254,1316,-22,"DL",301,"N3773D","JFK","SJU",202,1598,9,15,2013-04-01 09:00:00
2013,4,1,912,915,-3,1223,1232,-9,"DL",2379,"N332NW","LGA","FLL",168,1076,9,15,2013-04-01 09:00:00
2013,4,1,957,1000,-3,1317,1334,-17,"DL",1765,"N710TW","JFK","SFO",353,2586,10,0,2013-04-01 10:00:00
2013,4,1,957,1000,-3,1229,1234,-5,"DL",1847,"N398DA","LGA","ATL",116,762,10,0,2013-04-01 10:00:00
2013,4,1,1000,1004,-4,1147,1220,-33,"DL",2319,"N367NW","LGA","MSP",147,1020,10,4,2013-04-01 10:00:00
2013,4,1,1002,900,62,1320,1216,64,"DL",874,"N322NB","LGA","MIA",165,1096,9,0,2013-04-01 09:00:00
2013,4,1,1023,1030,-7,1314,1309,5,"DL",1529,"N399DA","JFK","LAS",324,2248,10,30,2013-04-01 10:00:00
2013,4,1,1026,1030,-4,1246,1248,-2,"DL",2343,"N387DA","EWR","ATL",116,746,10,30,2013-04-01 10:00:00
2013,4,1,1051,1050,1,1354,1402,-8,"DL",1903,"N908DE","LGA","SRQ",158,1047,10,50,2013-04-01 10:00:00
2013,4,1,1057,1100,-3,1411,1414,-3,"DL",930,"N918DL","LGA","FLL",172,1076,11,0,2013-04-01 11:00:00
2013,4,1,1057,1100,-3,1322,1331,-9,"DL",1647,"N668DN","LGA","ATL",115,762,11,0,2013-04-01 11:00:00
2013,4,1,1101,1100,1,1258,1305,-7,"DL",1573,"N353NB","LGA","MEM",152,963,11,0,2013-04-01 11:00:00
2013,4,1,1110,1110,0,1256,1315,-19,"DL",1031,"N316NB","LGA","DTW",80,502,11,10,2013-04-01 11:00:00
2013,4,1,1110,1115,-5,1421,1416,5,"DL",1875,"N324US","LGA","TPA",151,1010,11,15,2013-04-01 11:00:00
2013,4,1,1119,1100,19,1429,1414,15,"DL",1275,"N3747D","JFK","SLC",283,1990,11,0,2013-04-01 11:00:00
