"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,5,1,806,810,-4,1024,1049,-25,"DL",1429,"N614DL","JFK","LAS",294,2248,8,10,2013-05-01 08:00:00
2013,5,1,807,805,2,1048,1117,-29,"DL",1271,"N310NW","JFK","FLL",140,1069,8,5,2013-05-01 08:00:00
2013,5,1,811,815,-4,1059,1122,-23,"DL",269,"N991DL","JFK","MIA",144,1089,8,15,2013-05-01 08:00:00
2013,5,1,812,815,-3,1032,1047,-15,"DL",914,"N335NW","LGA","DEN",224,1620,8,15,2013-05-01 08:00:00
2013,5,1,814,815,-1,1008,1018,-10,"DL",2119,"N324US","LGA","MSP",147,1020,8,15,2013-05-01 08:00:00
2013,5,1,818,820,-2,1101,1116,-15,"DL",1167,"N302DQ","JFK","TPA",141,1005,8,20,2013-05-01 08:00:00
2013,5,1,818,820,-2,1054,1110,-16,"DL",1959,"N925DL","JFK","MCO",126,944,8,20,2013-05-01 08:00:00
2013,5,1,819,825,-6,1023,1049,-26,"DL",2170,"N717TW","JFK","PHX",275,2153,8,25,2013-05-01 08:00:00
2013,5,1,822,830,-8,1058,1128,-30,"DL",857,"N374DA","JFK","SAN",313,2446,8,30,2013-05-01 08:00:00
2013,5,1,825,830,-5,1041,1049,-8,"DL",27,"N305DQ","JFK","ATL",111,760,8,30,2013-05-01 08:00:00
2013,5,1,848,850,-2,1220,1248,-28,"DL",301,"N721TW","JFK","SJU",189,1598,8,50,2013-05-01 08:00:00
2013,5,1,853,900,-7,1112,1121,-9,"DL",485,"N928DL","EWR","ATL",107,746,9,0,2013-05-01 09:00:00
2013,5,1,854,900,-6,1206,1219,-13,"DL",923,"N320NB","LGA","MIA",151,1096,9,0,2013-05-01 09:00:00
2013,5,1,854,855,-1,1041,1100,-19,"DL",2179,"N782NC","EWR","DTW",73,488,8,55,2013-05-01 08:00:00
2013,5,1,855,900,-5,1148,1210,-22,"DL",120,"N723TW","JFK","LAX",327,2475,9,0,2013-05-01 09:00:00
2013,5,1,856,900,-4,1117,1116,1,"DL",181,"N945DL","LGA","DTW",76,502,9,0,2013-05-01 09:00:00
2013,5,1,856,900,-4,1159,1201,-2,"DL",1885,"N374NW","LGA","MCO",130,950,9,0,2013-05-01 09:00:00
2013,5,1,857,859,-2,1144,1138,6,"DL",1747,"N673DL","LGA","ATL",105,762,8,59,2013-05-01 08:00:00
2013,5,1,916,915,1,1240,1234,6,"DL",2379,"N339NW","LGA","FLL",154,1076,9,15,2013-05-01 09:00:00
2013,5,1,953,1000,-7,1239,1231,8,"DL",1847,"N6705Y","LGA","ATL",107,762,10,0,2013-05-01 10:00:00
2013,5,1,957,1000,-3,1300,1329,-29,"DL",1765,"N176DN","JFK","SFO",339,2586,10,0,2013-05-01 10:00:00
2013,5,1,1004,1004,0,1218,1215,3,"DL",2319,"N329NW","LGA","MSP",141,1020,10,4,2013-05-01 10:00:00
2013,5,1,1018,1021,-3,1240,1247,-7,"DL",1529,"N393DA","JFK","LAS",291,2248,10,21,2013-05-01 10:00:00
2013,5,1,1027,1030,-3,1237,1243,-6,"DL",2343,"N307DQ","EWR","ATL",108,746,10,30,2013-05-01 10:00:00
2013,5,1,1043,1051,-8,1353,1405,-12,"DL",1903,"N968DL","LGA","SRQ",157,1047,10,51,2013-05-01 10:00:00
2013,5,1,1053,1055,-2,1328,1403,-35,"DL",1275,"N3742C","JFK","SLC",258,1990,10,55,2013-05-01 10:00:00
2013,5,1,1054,1100,-6,1303,1307,-4,"DL",1031,"N338NW","LGA","DTW",76,502,11,0,2013-05-01 11:00:00
2013,5,1,1057,1059,-2,1330,1329,1,"DL",1647,"N6702","LGA","ATL",111,762,10,59,2013-05-01 10:00:00
2013,5,1,1101,1105,-4,1416,1418,-2,"DL",930,"N929DL","LGA","FLL",149,1076,11,5,2013-05-01 11:00:00
2013,5,1,1103,1110,-7,1328,1356,-28,"DL",695,"N331NW","JFK","MCO",125,944,11,10,2013-05-01 11:00:00
