"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,3,1,739,740,-1,1053,1105,-12,"DL",1915,"N709TW","JFK","SEA",348,2422,7,40,2013-03-01 07:00:00
2013,3,1,745,750,-5,928,1004,-36,"DL",2119,"N357NW","LGA","MSP",141,1020,7,50,2013-03-01 07:00:00
2013,3,1,751,759,-8,1028,1039,-11,"DL",2047,"N623DL","LGA","ATL",114,762,7,59,2013-03-01 07:00:00
2013,3,1,755,800,-5,1118,1127,-9,"DL",2245,"N971DL","JFK","MIA",177,1089,8,0,2013-03-01 08:00:00
2013,3,1,806,810,-4,1023,1042,-19,"DL",269,"N344NB","JFK","ATL",114,760,8,10,2013-03-01 08:00:00
2013,3,1,807,810,-3,1110,1115,-5,"DL",1959,"N907DE","JFK","MCO",159,944,8,10,2013-03-01 08:00:00
2013,3,1,807,810,-3,1133,1129,4,"DL",1271,"N310NW","JFK","FLL",180,1069,8,10,2013-03-01 08:00:00
2013,3,1,808,815,-7,1027,1117,-50,"DL",1429,"N900PC","JFK","LAS",287,2248,8,15,2013-03-01 08:00:00
2013,3,1,811,815,-4,1130,1127,3,"DL",1023,"N932DL","LGA","TPA",165,1010,8,15,2013-03-01 08:00:00
2013,3,1,811,815,-4,1121,1207,-46,"DL",1079,"N375DA","JFK","PHX",285,2153,8,15,2013-03-01 08:00:00
2013,3,1,812,815,-3,1121,1131,-10,"DL",1167,"N308DE","JFK","TPA",160,1005,8,15,2013-03-01 08:00:00
2013,3,1,814,815,-1,1012,1056,-44,"DL",914,"N351NW","LGA","DEN",206,1620,8,15,2013-03-01 08:00:00
2013,3,1,818,820,-2,1207,1133,34,"DL",2395,"N371NW","LGA","PBI",190,1035,8,20,2013-03-01 08:00:00
2013,3,1,828,830,-2,1309,1335,-26,"DL",301,"N3772H","JFK","SJU",189,1598,8,30,2013-03-01 08:00:00
2013,3,1,855,900,-5,1118,1135,-17,"DL",485,"N301DQ","EWR","ATL",113,746,9,0,2013-03-01 09:00:00
2013,3,1,857,900,-3,1202,1221,-19,"DL",120,"N710TW","JFK","LAX",311,2475,9,0,2013-03-01 09:00:00
2013,3,1,858,859,-1,1156,1145,11,"DL",1747,"N664DN","LGA","ATL",115,762,8,59,2013-03-01 08:00:00
2013,3,1,859,900,-1,1233,1205,28,"DL",1885,"N315US","LGA","MCO",158,950,9,0,2013-03-01 09:00:00
2013,3,1,900,900,0,1248,1228,20,"DL",1659,"N322NB","LGA","MIA",171,1096,9,0,2013-03-01 09:00:00
2013,3,1,903,900,3,1120,1116,4,"DL",181,"N329NW","LGA","DTW",91,502,9,0,2013-03-01 09:00:00
2013,3,1,918,915,3,1248,1237,11,"DL",2379,"N367NW","LGA","FLL",163,1076,9,15,2013-03-01 09:00:00
2013,3,1,957,1000,-3,1258,1341,-43,"DL",1765,"N718TW","JFK","SFO",326,2586,10,0,2013-03-01 10:00:00
2013,3,1,957,1000,-3,1229,1239,-10,"DL",1847,"N692DL","LGA","ATL",115,762,10,0,2013-03-01 10:00:00
2013,3,1,1010,1016,-6,1208,1227,-19,"DL",2319,"N347NW","LGA","MSP",137,1020,10,16,2013-03-01 10:00:00
2013,3,1,1019,1021,-2,1344,1342,2,"DL",1903,"N900DE","LGA","SRQ",166,1047,10,21,2013-03-01 10:00:00
2013,3,1,1020,1022,-2,1231,1314,-43,"DL",1529,"N3750D","JFK","LAS",287,2248,10,22,2013-03-01 10:00:00
2013,3,1,1027,1030,-3,1242,1254,-12,"DL",2343,"N305DQ","EWR","ATL",112,746,10,30,2013-03-01 10:00:00
2013,3,1,1054,1103,-9,1255,1305,-10,"DL",1031,"N332NB","LGA","DTW",85,502,11,3,2013-03-01 11:00:00
2013,3,1,1054,1100,-6,1331,1420,-49,"DL",1275,"N3759","JFK","SLC",254,1990,11,0,2013-03-01 11:00:00
2013,3,1,1056,1059,-3,1325,1337,-12,"DL",1647,"N616DL","LGA","ATL",117,762,10,59,2013-03-01 10:00:00
2013,3,1,1056,1100,-4,1427,1424,3,"DL",2261,"N945DL","LGA","MIA",169,1096,11,0,2013-03-01 11:00:00
2013,3,1,1104,1112,-8,1258,1323,-25,"DL",1573,"N325NB","LGA","MEM",138,963,11,12,2013-03-01 11:00:00
2013,3,1,1123,1130,-7,1430,1430,0,"DL",2297,"N951DL","JFK","MCO",158,944,11,30,2013-03-01 11:00:00
2013,3,1,1130,1134,-4,1315,1345,-30,"DL",2219,"N348NB","LGA","MSP",140,1020,11,34,2013-03-01 11:00:00
2013,3,1,1133,1135,-2,1450,1446,4,"DL",950,"N338NW","LGA","FLL",164,1076,11,35,2013-03-01 11:00:00
2013,3,1,1137,1140,-3,1504,1459,5,"DL",1421,"N319NB","LGA","RSW",177,1080,11,40,2013-03-01 11:00:00
