date_string,eur_to_usd,gbp_to_usd
"Monday, May 10, 1999",1.63,1.0787
"Tuesday, May 11, 1999",1.6215,1.072
"Wednesday, May 12, 1999",1.6193,1.0666
"Thursday, May 13, 1999",1.619,1.0626
"Friday, May 14, 1999",1.6175,1.065
"Monday, May 17, 1999",1.6193,1.0672
"Tuesday, May 18, 1999",1.6203,1.0672
"Wednesday, May 19, 1999",1.6175,1.0641
"Thursday, May 20, 1999",1.6122,1.063
"Friday, May 21, 1999",1.602,1.0577
"Monday, May 24, 1999",1.5978,1.0593
"Tuesday, May 25, 1999",1.6021,1.0587
"Wednesday, May 26, 1999",1.5963,1.0471
"Thursday, May 27, 1999",1.5957,1.0439
"Friday, May 28, 1999",1.602,1.0422
"Monday, May 31, 1999",,
"Tuesday, Jun 01, 1999",1.615,1.0449
"Wednesday, Jun 02, 1999",1.6075,1.0357
"Thursday, Jun 03, 1999",1.6055,1.0355
"Friday, Jun 04, 1999",1.6074,1.0327
"Monday, Jun 07, 1999",1.601,1.0296
"Tuesday, Jun 08, 1999",1.605,1.0438
"Wednesday, Jun 09, 1999",1.6001,1.045
"Thursday, Jun 10, 1999",1.6002,1.0477
"Friday, Jun 11, 1999",1.6085,1.0516
"Monday, Jun 14, 1999",1.6075,1.0416
"Tuesday, Jun 15, 1999",1.595,1.042
"Wednesday, Jun 16, 1999",1.5862,1.0298
"Thursday, Jun 17, 1999",1.5925,1.0329
"Friday, Jun 18, 1999",1.5924,1.0368
"Monday, Jun 21, 1999",1.589,1.0323
"Tuesday, Jun 22, 1999",1.5895,1.0323
"Wednesday, Jun 23, 1999",1.5787,1.0316
"Thursday, Jun 24, 1999",1.5833,1.0372
"Friday, Jun 25, 1999",1.5893,1.0448
"Monday, Jun 28, 1999",1.5822,1.0373
"Tuesday, Jun 29, 1999",1.5781,1.0337
"Wednesday, Jun 30, 1999",1.5765,1.031
"Thursday, Jul 01, 1999",1.5765,1.0236
"Friday, Jul 02, 1999",1.5792,1.0244
"Monday, Jul 05, 1999",,
"Tuesday, Jul 06, 1999",1.5688,1.0249
"Wednesday, Jul 07, 1999",1.5602,1.0224
"Thursday, Jul 08, 1999",1.5577,1.0198
"Friday, Jul 09, 1999",1.5515,1.0186
"Monday, Jul 12, 1999",1.5558,1.0139
"Tuesday, Jul 13, 1999",1.5566,1.0176
"Wednesday, Jul 14, 1999",1.5635,1.0215
"Thursday, Jul 15, 1999",1.5665,1.022
"Friday, Jul 16, 1999",1.5622,1.0203
"Monday, Jul 19, 1999",1.563,1.0203
"Tuesday, Jul 20, 1999",1.57,1.042
"Wednesday, Jul 21, 1999",1.5766,1.0526
"Thursday, Jul 22, 1999",1.5835,1.0509
"Friday, Jul 23, 1999",1.578,1.0497
"Monday, Jul 26, 1999",1.5905,1.0651
"Tuesday, Jul 27, 1999",1.5895,1.0627
"Wednesday, Jul 28, 1999",1.5935,1.0644
"Thursday, Jul 29, 1999",1.613,1.0719
"Friday, Jul 30, 1999",1.6207,1.0694
"Monday, Aug 02, 1999",1.6145,1.0661
"Tuesday, Aug 03, 1999",1.6185,1.068
"Wednesday, Aug 04, 1999",1.62,1.0766
"Thursday, Aug 05, 1999",1.6198,1.0793
"Friday, Aug 06, 1999",1.6147,1.077
"Monday, Aug 09, 1999",1.6,1.0694
"Tuesday, Aug 10, 1999",1.618,1.0752
"Wednesday, Aug 11, 1999",1.6107,1.066
"Thursday, Aug 12, 1999",1.609,1.0636
"Friday, Aug 13, 1999",1.6057,1.0568
"Monday, Aug 16, 1999",1.6011,1.0557
"Tuesday, Aug 17, 1999",1.6036,1.0525
"Wednesday, Aug 18, 1999",1.6004,1.0505
"Thursday, Aug 19, 1999",1.618,1.0643
"Friday, Aug 20, 1999",1.6133,1.0654
"Monday, Aug 23, 1999",1.6076,1.0553
"Tuesday, Aug 24, 1999",1.5946,1.0506
"Wednesday, Aug 25, 1999",1.5865,1.0461
"Thursday, Aug 26, 1999",1.5876,1.0441
"Friday, Aug 27, 1999",1.5885,1.046
"Monday, Aug 30, 1999",1.5875,1.0445
"Tuesday, Aug 31, 1999",1.6086,1.0581
"Wednesday, Sep 01, 1999",1.6023,1.0582
"Thursday, Sep 02, 1999",1.6091,1.0689
"Friday, Sep 03, 1999",1.6028,1.0605
"Monday, Sep 06, 1999",,
"Tuesday, Sep 07, 1999",1.6057,1.0581
"Wednesday, Sep 08, 1999",1.6185,1.059
"Thursday, Sep 09, 1999",1.6332,1.0543
"Friday, Sep 10, 1999",1.6183,1.0402
"Monday, Sep 13, 1999",1.609,1.04
"Tuesday, Sep 14, 1999",1.6085,1.0408
"Wednesday, Sep 15, 1999",1.611,1.0385
"Thursday, Sep 16, 1999",1.625,1.0418
"Friday, Sep 17, 1999",1.6222,1.0399
"Monday, Sep 20, 1999",1.623,1.0408
"Tuesday, Sep 21, 1999",1.631,1.046
"Wednesday, Sep 22, 1999",1.6363,1.05
"Thursday, Sep 23, 1999",1.6375,1.0415
"Friday, Sep 24, 1999",1.6428,1.0466
"Monday, Sep 27, 1999",1.6455,1.0431
"Tuesday, Sep 28, 1999",1.6485,1.0509
"Wednesday, Sep 29, 1999",1.6425,1.0613
"Thursday, Sep 30, 1999",1.6457,1.0643
"Friday, Oct 01, 1999",1.655,1.0718
"Monday, Oct 04, 1999",1.6555,1.0703
"Tuesday, Oct 05, 1999",1.6525,1.0693
"Wednesday, Oct 06, 1999",1.656,1.0704
"Thursday, Oct 07, 1999",1.652,1.0721
"Friday, Oct 08, 1999",1.652,1.063
"Monday, Oct 11, 1999",,
"Tuesday, Oct 12, 1999",1.6535,1.0737
"Wednesday, Oct 13, 1999",1.6532,1.0758
"Thursday, Oct 14, 1999",1.6575,1.0799
"Friday, Oct 15, 1999",1.6684,1.0887
"Monday, Oct 18, 1999",1.672,1.0863
"Tuesday, Oct 19, 1999",1.6708,1.0833
"Wednesday, Oct 20, 1999",1.6643,1.0765
"Thursday, Oct 21, 1999",1.6765,1.0808
"Friday, Oct 22, 1999",1.6584,1.0678
"Monday, Oct 25, 1999",1.6631,1.0666
"Tuesday, Oct 26, 1999",1.6525,1.0578
"Wednesday, Oct 27, 1999",1.6477,1.0532
"Thursday, Oct 28, 1999",1.64,1.0519
"Friday, Oct 29, 1999",1.6425,1.0518
"Monday, Nov 01, 1999",1.6404,1.0494
"Tuesday, Nov 02, 1999",1.6445,1.0506
"Wednesday, Nov 03, 1999",1.644,1.0485
"Thursday, Nov 04, 1999",1.6375,1.044
"Friday, Nov 05, 1999",1.6205,1.04
"Monday, Nov 08, 1999",1.615,1.0363
"Tuesday, Nov 09, 1999",1.621,1.0401
"Wednesday, Nov 10, 1999",1.625,1.0436
"Thursday, Nov 11, 1999",,
"Friday, Nov 12, 1999",1.6131,1.0315
"Monday, Nov 15, 1999",1.623,1.0315
"Tuesday, Nov 16, 1999",1.6164,1.0312
"Wednesday, Nov 17, 1999",1.6231,1.0403
"Thursday, Nov 18, 1999",1.615,1.0297
"Friday, Nov 19, 1999",1.616,1.0313
"Monday, Nov 22, 1999",1.6205,1.0327
"Tuesday, Nov 23, 1999",1.6236,1.0261
"Wednesday, Nov 24, 1999",1.609,1.0176
"Thursday, Nov 25, 1999",,
"Friday, Nov 26, 1999",1.6062,1.0137
"Monday, Nov 29, 1999",1.6024,1.01
"Tuesday, Nov 30, 1999",1.5935,1.0077
"Wednesday, Dec 01, 1999",1.596,1.0059
"Thursday, Dec 02, 1999",1.5972,1.0023
"Friday, Dec 03, 1999",1.6015,1.0016
"Monday, Dec 06, 1999",1.623,1.0252
"Tuesday, Dec 07, 1999",1.6233,1.0222
"Wednesday, Dec 08, 1999",1.6255,1.0263
"Thursday, Dec 09, 1999",1.623,1.0161
"Friday, Dec 10, 1999",1.6225,1.0158
"Monday, Dec 13, 1999",1.6232,1.012
"Tuesday, Dec 14, 1999",1.611,1.0067
"Wednesday, Dec 15, 1999",1.6085,1.0066
"Thursday, Dec 16, 1999",1.6123,1.0169
"Friday, Dec 17, 1999",1.607,1.0088
"Monday, Dec 20, 1999",1.6035,1.0066
"Tuesday, Dec 21, 1999",1.6103,1.0093
"Wednesday, Dec 22, 1999",1.606,1.008
"Thursday, Dec 23, 1999",1.6161,1.0162
"Friday, Dec 24, 1999",1.6154,1.0128
"Monday, Dec 27, 1999",1.6173,1.0136
"Tuesday, Dec 28, 1999",1.6165,1.0068
"Wednesday, Dec 29, 1999",1.6168,1.0045
"Thursday, Dec 30, 1999",1.613,1.0024
"Friday, Dec 31, 1999",1.615,1.007
"Monday, Jan 03, 2000",1.627,1.0155
"Tuesday, Jan 04, 2000",1.637,1.0309
"Wednesday, Jan 05, 2000",1.6415,1.0335
"Thursday, Jan 06, 2000",1.6475,1.0324
"Friday, Jan 07, 2000",1.6384,1.0294
"Monday, Jan 10, 2000",1.6374,1.0252
"Tuesday, Jan 11, 2000",1.648,1.0322
"Wednesday, Jan 12, 2000",1.6465,1.0281
"Thursday, Jan 13, 2000",1.6482,1.027
"Friday, Jan 14, 2000",1.6353,1.0128
"Monday, Jan 17, 2000",,
"Tuesday, Jan 18, 2000",1.638,1.0121
"Wednesday, Jan 19, 2000",1.6438,1.0115
"Thursday, Jan 20, 2000",1.6538,1.0133
"Friday, Jan 21, 2000",1.6504,1.01
"Monday, Jan 24, 2000",1.652,1.0019
"Tuesday, Jan 25, 2000",1.6482,1.0041
"Wednesday, Jan 26, 2000",1.6395,1.0011
"Thursday, Jan 27, 2000",1.6363,0.989
"Friday, Jan 28, 2000",1.621,0.9765
"Monday, Jan 31, 2000",1.6182,0.9757
"Tuesday, Feb 01, 2000",1.615,0.9731
"Wednesday, Feb 02, 2000",1.606,0.9768
"Thursday, Feb 03, 2000",1.6025,0.9887
"Friday, Feb 04, 2000",1.5915,0.976
"Monday, Feb 07, 2000",1.5917,0.9783
"Tuesday, Feb 08, 2000",1.6105,0.9862
"Wednesday, Feb 09, 2000",1.6115,0.9914
"Thursday, Feb 10, 2000",1.6057,0.9865
"Friday, Feb 11, 2000",1.5923,0.9847
"Monday, Feb 14, 2000",1.589,0.9783
"Tuesday, Feb 15, 2000",1.595,0.9834
"Wednesday, Feb 16, 2000",1.604,0.9842
"Thursday, Feb 17, 2000",1.605,0.9863
"Friday, Feb 18, 2000",1.5984,0.985
"Monday, Feb 21, 2000",,
"Tuesday, Feb 22, 2000",1.6165,1.006
"Wednesday, Feb 23, 2000",1.6047,1.0017
"Thursday, Feb 24, 2000",1.5981,0.9931
"Friday, Feb 25, 2000",1.5908,0.9763
"Monday, Feb 28, 2000",1.5935,0.9669
"Tuesday, Feb 29, 2000",1.578,0.9643
"Wednesday, Mar 01, 2000",1.5849,0.97
"Thursday, Mar 02, 2000",1.5765,0.9619
"Friday, Mar 03, 2000",1.581,0.9618
"Monday, Mar 06, 2000",1.5732,0.9603
"Tuesday, Mar 07, 2000",1.5772,0.956
"Wednesday, Mar 08, 2000",1.5855,0.9576
"Thursday, Mar 09, 2000",1.5815,0.9684
"Friday, Mar 10, 2000",1.5793,0.9659
"Monday, Mar 13, 2000",1.5782,0.9648
"Tuesday, Mar 14, 2000",1.5725,0.9644
"Wednesday, Mar 15, 2000",1.573,0.9696
"Thursday, Mar 16, 2000",1.5747,0.971
"Friday, Mar 17, 2000",1.5705,0.9694
"Monday, Mar 20, 2000",1.5686,0.971
"Tuesday, Mar 21, 2000",1.5725,0.9703
"Wednesday, Mar 22, 2000",1.5705,0.9608
"Thursday, Mar 23, 2000",1.583,0.9691
"Friday, Mar 24, 2000",1.591,0.9724
"Monday, Mar 27, 2000",1.5855,0.9645
"Tuesday, Mar 28, 2000",1.5872,0.9614
"Wednesday, Mar 29, 2000",1.587,0.9524
"Thursday, Mar 30, 2000",1.5922,0.9594
"Friday, Mar 31, 2000",1.5922,0.9574
"Monday, Apr 03, 2000",1.598,0.956
"Tuesday, Apr 04, 2000",1.5965,0.9588
"Wednesday, Apr 05, 2000",1.59,0.9647
"Thursday, Apr 06, 2000",1.58,0.958
"Friday, Apr 07, 2000",1.583,0.959
"Monday, Apr 10, 2000",1.5828,0.9588
"Tuesday, Apr 11, 2000",1.5873,0.9591
"Wednesday, Apr 12, 2000",1.5882,0.9551
"Thursday, Apr 13, 2000",1.5881,0.9524
"Friday, Apr 14, 2000",1.586,0.9564
"Monday, Apr 17, 2000",1.5853,0.955
"Tuesday, Apr 18, 2000",1.5764,0.9477
"Wednesday, Apr 19, 2000",1.5777,0.9369
"Thursday, Apr 20, 2000",1.5801,0.9376
"Friday, Apr 21, 2000",1.5785,0.9379
"Monday, Apr 24, 2000",1.58,0.9396
"Tuesday, Apr 25, 2000",1.5787,0.9265
"Wednesday, Apr 26, 2000",1.5795,0.9217
"Thursday, Apr 27, 2000",1.5748,0.9083
"Friday, Apr 28, 2000",1.556,0.9089
"Monday, May 01, 2000",1.5558,0.912
"Tuesday, May 02, 2000",1.559,0.9068
"Wednesday, May 03, 2000",1.5605,0.8891
"Thursday, May 04, 2000",1.5435,0.8907
"Friday, May 05, 2000",1.5288,0.8953
"Monday, May 08, 2000",1.531,0.895
"Tuesday, May 09, 2000",1.5315,0.9023
"Wednesday, May 10, 2000",1.5153,0.9097
"Thursday, May 11, 2000",1.4997,0.9021
"Friday, May 12, 2000",1.5172,0.908
"Monday, May 15, 2000",1.5075,0.9138
"Tuesday, May 16, 2000",1.5008,0.9053
"Wednesday, May 17, 2000",1.4905,0.8921
"Thursday, May 18, 2000",1.4818,0.8952
"Friday, May 19, 2000",1.4855,0.8946
"Monday, May 22, 2000",1.4907,0.9036
"Tuesday, May 23, 2000",1.4728,0.9032
"Wednesday, May 24, 2000",1.4755,0.9096
"Thursday, May 25, 2000",1.4705,0.9072
"Friday, May 26, 2000",1.4875,0.931
"Monday, May 29, 2000",,
"Tuesday, May 30, 2000",1.495,0.9314
"Wednesday, May 31, 2000",1.4968,0.9328
"Thursday, Jun 01, 2000",1.4915,0.9307
"Friday, Jun 02, 2000",1.5079,0.9432
"Monday, Jun 05, 2000",1.5135,0.9471
"Tuesday, Jun 06, 2000",1.5235,0.957
"Wednesday, Jun 07, 2000",1.5225,0.96
"Thursday, Jun 08, 2000",1.506,0.9548
"Friday, Jun 09, 2000",1.5079,0.9526
"Monday, Jun 12, 2000",1.512,0.9544
"Tuesday, Jun 13, 2000",1.513,0.9619
"Wednesday, Jun 14, 2000",1.5023,0.959
"Thursday, Jun 15, 2000",1.5103,0.953
"Friday, Jun 16, 2000",1.5165,0.9648
"Monday, Jun 19, 2000",1.5154,0.9622
"Tuesday, Jun 20, 2000",1.51,0.9557
"Wednesday, Jun 21, 2000",1.497,0.9455
"Thursday, Jun 22, 2000",1.511,0.9398
"Friday, Jun 23, 2000",1.501,0.9358
"Monday, Jun 26, 2000",1.499,0.9382
"Tuesday, Jun 27, 2000",1.5,0.9444
"Wednesday, Jun 28, 2000",1.5107,0.9444
"Thursday, Jun 29, 2000",1.5194,0.9515
"Friday, Jun 30, 2000",1.513,0.9545
"Monday, Jul 03, 2000",1.5135,0.9526
"Tuesday, Jul 04, 2000",,
"Wednesday, Jul 05, 2000",1.512,0.9548
"Thursday, Jul 06, 2000",1.512,0.9527
"Friday, Jul 07, 2000",1.5143,0.9484
"Monday, Jul 10, 2000",1.5137,0.9521
"Tuesday, Jul 11, 2000",1.514,0.9497
"Wednesday, Jul 12, 2000",1.5068,0.9401
"Thursday, Jul 13, 2000",1.499,0.9339
"Friday, Jul 14, 2000",1.499,0.9374
"Monday, Jul 17, 2000",1.492,0.9351
"Tuesday, Jul 18, 2000",1.4945,0.9322
"Wednesday, Jul 19, 2000",1.4942,0.9237
"Thursday, Jul 20, 2000",1.5094,0.9292
"Friday, Jul 21, 2000",1.5167,0.9343
"Monday, Jul 24, 2000",1.514,0.9314
"Tuesday, Jul 25, 2000",1.519,0.9391
"Wednesday, Jul 26, 2000",1.5154,0.9413
"Thursday, Jul 27, 2000",1.5116,0.9331
"Friday, Jul 28, 2000",1.5025,0.9246
"Monday, Jul 31, 2000",1.4983,0.9266
"Tuesday, Aug 01, 2000",1.4992,0.9228
"Wednesday, Aug 02, 2000",1.4926,0.9137
"Thursday, Aug 03, 2000",1.4947,0.9042
"Friday, Aug 04, 2000",1.5022,0.9075
"Monday, Aug 07, 2000",1.507,0.9105
"Tuesday, Aug 08, 2000",1.5022,0.9019
"Wednesday, Aug 09, 2000",1.4992,0.8991
"Thursday, Aug 10, 2000",1.498,0.9077
"Friday, Aug 11, 2000",1.504,0.9046
"Monday, Aug 14, 2000",1.506,0.9037
"Tuesday, Aug 15, 2000",1.5056,0.9135
"Wednesday, Aug 16, 2000",1.4988,0.9143
"Thursday, Aug 17, 2000",1.4992,0.9152
"Friday, Aug 18, 2000",1.4895,0.9068
"Monday, Aug 21, 2000",1.49,0.9027
"Tuesday, Aug 22, 2000",1.4797,0.8965
"Wednesday, Aug 23, 2000",1.4813,0.8967
"Thursday, Aug 24, 2000",1.4806,0.9028
"Friday, Aug 25, 2000",1.4745,0.9024
"Monday, Aug 28, 2000",1.4716,0.9002
"Tuesday, Aug 29, 2000",1.4616,0.8966
"Wednesday, Aug 30, 2000",1.456,0.8924
"Thursday, Aug 31, 2000",1.4515,0.8878
"Friday, Sep 01, 2000",1.4605,0.8993
"Monday, Sep 04, 2000",,
"Tuesday, Sep 05, 2000",1.4522,0.8876
"Wednesday, Sep 06, 2000",1.4455,0.8702
"Thursday, Sep 07, 2000",1.438,0.874
"Friday, Sep 08, 2000",1.4196,0.8664
"Monday, Sep 11, 2000",1.4123,0.8624
"Tuesday, Sep 12, 2000",1.402,0.8596
"Wednesday, Sep 13, 2000",1.4125,0.864
"Thursday, Sep 14, 2000",1.406,0.8617
"Friday, Sep 15, 2000",1.4005,0.8572
"Monday, Sep 18, 2000",1.4015,0.8523
"Tuesday, Sep 19, 2000",1.408,0.8514
"Wednesday, Sep 20, 2000",1.4107,0.8462
"Thursday, Sep 21, 2000",1.428,0.8558
"Friday, Sep 22, 2000",1.4568,0.8793
"Monday, Sep 25, 2000",1.454,0.8738
"Tuesday, Sep 26, 2000",1.46,0.8815
"Wednesday, Sep 27, 2000",1.4607,0.8805
"Thursday, Sep 28, 2000",1.4635,0.8826
"Friday, Sep 29, 2000",1.4787,0.8837
"Monday, Oct 02, 2000",1.4675,0.8806
"Tuesday, Oct 03, 2000",1.4565,0.8741
"Wednesday, Oct 04, 2000",1.4558,0.8726
"Thursday, Oct 05, 2000",1.4502,0.8685
"Friday, Oct 06, 2000",1.4445,0.868
"Monday, Oct 09, 2000",,
"Tuesday, Oct 10, 2000",1.4484,0.8682
"Wednesday, Oct 11, 2000",1.462,0.8715
"Thursday, Oct 12, 2000",1.4735,0.8644
"Friday, Oct 13, 2000",1.4597,0.8568
"Monday, Oct 16, 2000",1.4455,0.8489
"Tuesday, Oct 17, 2000",1.4426,0.8507
"Wednesday, Oct 18, 2000",1.4464,0.8391
"Thursday, Oct 19, 2000",1.4422,0.8406
"Friday, Oct 20, 2000",1.4448,0.84
"Monday, Oct 23, 2000",1.455,0.8364
"Tuesday, Oct 24, 2000",1.449,0.8364
"Wednesday, Oct 25, 2000",1.4335,0.827
"Thursday, Oct 26, 2000",1.4313,0.8271
"Friday, Oct 27, 2000",1.4517,0.8406
"Monday, Oct 30, 2000",1.453,0.8432
"Tuesday, Oct 31, 2000",1.4505,0.8486
"Wednesday, Nov 01, 2000",1.4452,0.8584
"Thursday, Nov 02, 2000",1.444,0.8594
"Friday, Nov 03, 2000",1.4484,0.8614
"Monday, Nov 06, 2000",1.432,0.8584
"Tuesday, Nov 07, 2000",1.431,0.8583
"Wednesday, Nov 08, 2000",1.4236,0.8559
"Thursday, Nov 09, 2000",1.4242,0.8574
"Friday, Nov 10, 2000",1.4305,0.8625
"Monday, Nov 13, 2000",1.4388,0.8607
"Tuesday, Nov 14, 2000",1.4306,0.8573
"Wednesday, Nov 15, 2000",1.4257,0.857
"Thursday, Nov 16, 2000",1.4228,0.8532
"Friday, Nov 17, 2000",1.423,0.8516
"Monday, Nov 20, 2000",1.4222,0.8486
"Tuesday, Nov 21, 2000",1.416,0.8458
"Wednesday, Nov 22, 2000",1.4077,0.8423
"Thursday, Nov 23, 2000",,
"Friday, Nov 24, 2000",1.3997,0.8382
"Monday, Nov 27, 2000",1.4155,0.85
"Tuesday, Nov 28, 2000",1.4182,0.8547
"Wednesday, Nov 29, 2000",1.4209,0.8577
"Thursday, Nov 30, 2000",1.421,0.8694
"Friday, Dec 01, 2000",1.4373,0.8765
"Monday, Dec 04, 2000",1.4523,0.8875
"Tuesday, Dec 05, 2000",1.441,0.8804
"Wednesday, Dec 06, 2000",1.4365,0.8877
"Thursday, Dec 07, 2000",1.44,0.8891
"Friday, Dec 08, 2000",1.4442,0.8838
"Monday, Dec 11, 2000",1.4554,0.8771
"Tuesday, Dec 12, 2000",1.448,0.8775
"Wednesday, Dec 13, 2000",1.451,0.8755
"Thursday, Dec 14, 2000",1.4665,0.8858
"Friday, Dec 15, 2000",1.4763,0.8981
"Monday, Dec 18, 2000",1.4677,0.8929
"Tuesday, Dec 19, 2000",1.462,0.8902
"Wednesday, Dec 20, 2000",1.4737,0.9058
"Thursday, Dec 21, 2000",1.4707,0.9112
"Friday, Dec 22, 2000",1.4783,0.923
"Monday, Dec 25, 2000",,
"Tuesday, Dec 26, 2000",1.48,0.9292
"Wednesday, Dec 27, 2000",1.4912,0.9304
"Thursday, Dec 28, 2000",1.4907,0.9257
"Friday, Dec 29, 2000",1.4955,0.9388
"Monday, Jan 01, 2001",,
"Tuesday, Jan 02, 2001",1.4977,0.9465
"Wednesday, Jan 03, 2001",1.5045,0.9473
"Thursday, Jan 04, 2001",1.493,0.9448
"Friday, Jan 05, 2001",1.499,0.9535
"Monday, Jan 08, 2001",1.4969,0.9486
"Tuesday, Jan 09, 2001",1.49,0.9397
"Wednesday, Jan 10, 2001",1.491,0.9387
"Thursday, Jan 11, 2001",1.4965,0.952
"Friday, Jan 12, 2001",1.4778,0.9486
"Monday, Jan 15, 2001",,
"Tuesday, Jan 16, 2001",1.4675,0.9374
"Wednesday, Jan 17, 2001",1.4723,0.9306
"Thursday, Jan 18, 2001",1.4755,0.9446
"Friday, Jan 19, 2001",1.4683,0.9363
"Monday, Jan 22, 2001",1.465,0.9374
"Tuesday, Jan 23, 2001",1.4715,0.9389
"Wednesday, Jan 24, 2001",1.4616,0.9258
"Thursday, Jan 25, 2001",1.4605,0.9219
"Friday, Jan 26, 2001",1.459,0.9213
"Monday, Jan 29, 2001",1.457,0.9181
"Tuesday, Jan 30, 2001",1.4615,0.9264
"Wednesday, Jan 31, 2001",1.4613,0.9308
"Thursday, Feb 01, 2001",1.4775,0.9384
"Friday, Feb 02, 2001",1.4692,0.9357
"Monday, Feb 05, 2001",1.475,0.9395
"Tuesday, Feb 06, 2001",1.4585,0.9304
"Wednesday, Feb 07, 2001",1.4633,0.9331
"Thursday, Feb 08, 2001",1.444,0.9184
"Friday, Feb 09, 2001",1.449,0.9267
"Monday, Feb 12, 2001",1.4513,0.9287
"Tuesday, Feb 13, 2001",1.451,0.9204
"Wednesday, Feb 14, 2001",1.4578,0.9197
"Thursday, Feb 15, 2001",1.449,0.9057
